Run1 3/6/26,Time,Measurement,Run2 3/6/28,Time,Measurement,Run1 5/6/26,Time,Measurement,Run2 5/6/28,Time,Measurement,,Run 9/6/26,Time,Measurement,,Run 10/6/26,Time,Measurement
GLASS,11:47,,ALUMINIUM,12:48,,BLACK TAPE,9:45,79.6,COPPER,10:44,,,COPPER AGAIN,12:48,,,GLASS AGAIN,12:49,
,11:48,,,12:49,,,9:46,,,10:45,,,,12:49,,,,12:50,75.1
,11:49,,,12:50,,,9:47,77.2,,10:46,,,,12:50,,,,12:51,
,11:50,,,12:51,,,9:48,,,10:47,,,,12:51,,,,12:52,
,11:51,,,12:52,,,9:49,75.7,,10:48,,,,12:52,93.5,,,12:53,
,11:52,,,12:53,,,9:50,74.2,,10:49,,,,12:53,88.9,,,12:54,
,11:53,,,12:54,,,9:51,,,10:50,70.7,,,12:54,,,,12:55,
,11:54,,,12:55,,,9:52,73.2,,10:51,70.9,,,12:55,88.6,,,12:56,
,11:55,66.7,,12:56,,,9:53,,,10:52,,,,12:56,,,,12:57,
,11:56,,,12:57,,,9:54,,,10:53,65.3,,,12:57,,,,12:58,
,11:57,,,12:58,,,9:55,71.2,,10:54,,,,12:58,74.5,,,12:59,
,11:58,,,12:59,,,9:56,69.8,,10:55,59.8,,,12:59,,,,13:00,
,11:59,65.3,,13:00,,,9:57,,,10:56,,,,13:00,,,,13:01,
,12:00,,,13:01,,,9:58,,,10:57,,,,13:01,,,,13:02,
,12:01,64,,13:02,65.7,,9:59,69.2,,10:58,,,,13:02,84.5,,,13:03,
,12:02,,,13:03,65.1,,10:00,,,10:59,51.6,,,13:03,,,,13:04,
,12:03,63.3,,13:04,,,10:01,67.3,,11:00,,,,13:04,,,,13:05,
,12:04,,,13:05,59.4,,10:02,66.3,,11:01,57.2,,,13:05,,,,13:06,
,12:05,,,13:06,58.9,,10:03,66.1,,11:02,53.2,,,13:06,,,,13:07,
,12:06,61.5,,13:07,,,10:04,,,11:03,,,,13:07,77.5,,,13:08,
,12:07,59.9,,13:08,,,10:05,64.9,,11:04,58.9,,,13:08,,,,13:09,
,12:08,,,13:09,71.3,,10:06,,,11:05,,,,13:09,,,,13:10,
,12:09,59.6,,13:10,,,10:07,63.5,,11:06,,,,13:10,73.1,,,13:11,
,12:10,,,13:11,60.4,,10:08,,,11:07,56.7,,,13:11,80.6,,,13:12,63
,12:11,,,13:12,58.9,,10:09,62.3,,11:08,,,,13:12,,,,13:13,
,12:12,59.6,,13:13,,,10:10,,,11:09,58.6,,,13:13,,,,13:14,62
,12:13,57.9,,13:14,,,10:11,62,,11:10,,,,13:14,,,,13:15,
,12:14,,,13:15,60.3,,10:12,,,11:11,62.1,,,13:15,,,,13:16,62.4
,12:15,,,13:16,61,,10:13,61.3,,11:12,,,,13:16,71.7,,,13:17,
,12:16,,,13:17,,,10:14,,,11:13,,,,13:17,,,,13:18,
,12:17,55.2,,13:18,,,10:15,59.3,,11:14,63.4,,,13:18,,,,13:19,
,12:18,,,13:19,65.5,,10:16,58.7,,11:15,,,,13:19,,,,13:20,60.2
,12:19,55.6,,13:20,,,10:17,,,11:16,58.9,,,13:20,89.7,,,13:21,59.5
,12:20,,,13:21,,,10:18,58.3,,11:17,,,,13:21,,,,13:22,58.9
,12:21,54.9,,13:22,,,10:19,,,11:18,63.9,,,13:22,88.6,,,13:23,
,12:22,,,13:23,65,,10:20,,,11:19,,,,13:23,,,,13:24,57.1
,12:23,53.5,,13:24,,,10:21,56.5,,11:20,,,,13:24,93.8,,,13:25,
,12:24,,,13:25,,,10:22,,,11:21,57.2,,,13:25,,,,13:26,57.1
,12:25,52.3,,13:26,,,10:23,55.8,,11:22,,,,13:26,87.1,,,13:27,
,12:26,,,13:27,68.6,,10:24,,,11:23,53.1,,,13:27,,,,13:28,57.5
,12:27,,,13:28,,,10:25,55.3,,11:24,,,,13:28,,,,13:29,57.2
,12:28,51.4,,13:29,64.7,,10:26,,,11:25,58.9,,,13:29,89.7,,,13:30,56.2
,12:29,,,13:30,,,10:27,53.7,,11:26,,,,13:30,,,,13:31,55.5
,12:30,50.7,,13:31,58.3,,10:28,,,11:27,51.1,,,13:31,,,,13:32,
,12:31,49.9,,13:32,57.5,,10:29,53,,11:28,57.1,,,13:32,85.2,,,13:33,54